               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,    metrics/mAP_0.75,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 115,              1.0821,             0.80694,              1.1801,             0.85754,             0.81225,              0.8748,             0.71777,              0.6518,             0.94069,             0.66606,              1.1416,            0.006238,            0.006238,            0.006238
                 116,              1.0775,              0.8038,              1.1754,              0.8572,             0.81337,               0.875,             0.71769,             0.65195,             0.94036,             0.66565,              1.1413,            0.006205,            0.006205,            0.006205
                 117,              1.0793,             0.81216,              1.1819,             0.85713,             0.81312,             0.87512,             0.71756,             0.65203,              0.9401,             0.66527,              1.1411,            0.006172,            0.006172,            0.006172
                 118,              1.0715,             0.79875,              1.1737,             0.85645,             0.81406,             0.87532,             0.71795,             0.65236,             0.93987,             0.66482,               1.141,            0.006139,            0.006139,            0.006139
                 119,              1.0691,             0.78983,              1.1689,             0.85646,             0.81379,             0.87553,             0.71824,              0.6526,             0.93962,             0.66447,              1.1407,            0.006106,            0.006106,            0.006106
                 120,              1.0671,             0.78966,              1.1707,             0.85652,             0.81402,             0.87568,              0.7184,              0.6527,             0.93946,             0.66398,              1.1406,            0.006073,            0.006073,            0.006073
                 121,              1.0712,             0.79864,              1.1733,             0.85505,             0.81575,             0.87572,              0.7187,             0.65293,              0.9392,             0.66344,              1.1404,             0.00604,             0.00604,             0.00604
                 122,               1.063,             0.78924,              1.1675,             0.85506,             0.81598,             0.87565,              0.7185,             0.65312,             0.93885,             0.66303,              1.1401,            0.006007,            0.006007,            0.006007
                 123,              1.0651,             0.78945,              1.1684,             0.85444,              0.8165,              0.8756,             0.71848,             0.65311,             0.93863,             0.66246,              1.1399,            0.005974,            0.005974,            0.005974
                 124,              1.0711,             0.78729,              1.1701,             0.85373,             0.81696,             0.87569,             0.71868,             0.65318,             0.93854,             0.66179,              1.1398,            0.005941,            0.005941,            0.005941
                 125,               1.068,             0.78778,              1.1687,             0.85392,              0.8178,             0.87583,             0.71923,              0.6533,             0.93842,             0.66115,              1.1398,            0.005908,            0.005908,            0.005908
                 126,              1.0611,             0.78784,              1.1686,             0.85493,              0.8166,             0.87598,             0.71952,             0.65369,             0.93816,             0.66054,              1.1394,            0.005875,            0.005875,            0.005875
                 127,              1.0743,             0.78612,              1.1673,             0.85394,             0.81716,             0.87599,             0.71949,             0.65378,             0.93801,             0.66007,              1.1391,            0.005842,            0.005842,            0.005842
                 128,              1.0586,             0.76836,              1.1607,             0.85395,             0.81793,             0.87619,             0.71954,             0.65392,             0.93788,             0.65964,              1.1389,            0.005809,            0.005809,            0.005809
                 129,              1.0636,              0.7789,              1.1646,             0.85424,             0.81757,             0.87618,             0.71983,             0.65417,             0.93765,              0.6593,              1.1387,            0.005776,            0.005776,            0.005776
                 130,              1.0611,             0.77839,              1.1608,             0.85406,             0.81778,             0.87628,             0.71985,             0.65441,             0.93761,             0.65903,              1.1386,            0.005743,            0.005743,            0.005743
                 131,              1.0552,             0.77373,              1.1607,             0.85433,             0.81788,             0.87647,             0.72028,              0.6547,             0.93742,             0.65873,              1.1383,             0.00571,             0.00571,             0.00571
                 132,              1.0574,             0.77641,              1.1623,             0.85602,             0.81705,             0.87661,             0.72065,             0.65477,             0.93706,             0.65838,              1.1379,            0.005677,            0.005677,            0.005677
                 133,              1.0587,             0.77222,              1.1621,             0.85759,             0.81641,             0.87666,              0.7209,             0.65498,             0.93696,             0.65768,              1.1378,            0.005644,            0.005644,            0.005644
                 134,              1.0491,             0.76645,              1.1574,             0.85839,             0.81527,              0.8767,             0.72117,             0.65513,             0.93665,             0.65731,              1.1374,            0.005611,            0.005611,            0.005611
                 135,              1.0577,             0.77118,              1.1568,             0.85845,             0.81613,             0.87679,             0.72134,             0.65527,             0.93669,             0.65692,              1.1373,            0.005578,            0.005578,            0.005578
                 136,              1.0563,              0.7718,              1.1601,             0.85882,             0.81606,             0.87693,             0.72186,             0.65548,             0.93662,             0.65647,              1.1372,            0.005545,            0.005545,            0.005545
                 137,              1.0542,             0.76455,              1.1539,             0.85764,             0.81715,             0.87696,             0.72196,             0.65561,             0.93666,             0.65601,              1.1372,            0.005512,            0.005512,            0.005512
                 138,              1.0468,             0.76189,              1.1501,             0.85726,              0.8179,             0.87723,             0.72221,             0.65575,             0.93667,             0.65563,              1.1372,            0.005479,            0.005479,            0.005479
                 139,              1.0458,             0.75359,              1.1529,             0.85716,             0.81814,             0.87733,             0.72257,             0.65601,             0.93659,             0.65517,               1.137,            0.005446,            0.005446,            0.005446
                 140,              1.0429,             0.76275,              1.1556,             0.85679,             0.81848,             0.87752,             0.72259,             0.65599,             0.93657,             0.65474,               1.137,            0.005413,            0.005413,            0.005413
                 141,              1.0453,             0.76117,              1.1567,             0.85603,             0.81886,             0.87763,             0.72236,             0.65623,             0.93643,             0.65432,              1.1367,             0.00538,             0.00538,             0.00538
                 142,               1.038,              0.7534,              1.1462,             0.85584,             0.81924,             0.87764,             0.72279,             0.65635,             0.93633,             0.65391,              1.1366,            0.005347,            0.005347,            0.005347
